,S-P Ratio,Self Connections,Conflicting Connections,Loss
88,0.1397569179534912,0.3125,17.625,0.059211601405865864
89,0.12285464257001877,0.1875,18.375,0.05229109935119375
90,0.1194261983036995,0.25,22.4375,0.06724856621220991
91,0.15390951931476593,0.5,16.875,0.05635536566958732
92,0.15771228075027466,0.625,19.375,0.06502820841725808
93,0.22599810361862183,0.25,15.75,0.05399754103884681
94,0.1516238898038864,0.25,19.4375,0.05610929169823199
95,0.11800655722618103,0.25,17.9375,0.06859635604781841
96,0.12196046859025955,0.125,15.875,0.05723959001396068
97,0.11283345520496368,0.0625,23.0,0.05408496280484755
98,0.12793715298175812,0.25,17.0,0.06823178491404952
99,0.11059021204710007,0.1875,19.9375,0.05798036784976161
100,0.11077935993671417,0.1875,22.9375,0.058238610693605114
101,0.07952930778265,0.125,18.1875,0.07002028443357305
102,0.1967185139656067,0.125,14.4375,0.06420969431801672
103,0.1442783772945404,0.375,17.125,0.040718405187237385
104,0.17624031007289886,0.375,23.3125,0.061731660043752606
105,0.2172173112630844,0.4375,18.8125,0.06494775101275986
106,0.1820257008075714,0.4375,19.0625,0.07291672161443939
107,0.15883584320545197,0.25,19.8125,0.05612114210637477
108,0.14915716648101807,0.3125,13.5,0.056801868845945874
109,0.10153894871473312,0.1875,22.25,0.05981790879950965
110,0.12995651364326477,0.1875,16.9375,0.06152286499396135
111,0.10179071128368378,0.1875,17.75,0.060591110351286635
112,0.1486438512802124,0.25,22.3125,0.05404155413836729
113,0.17025654017925262,0.1875,19.6875,0.0705252600804433
114,0.17707784473896027,0.0625,15.75,0.06839736091428776
115,0.09976290166378021,0.0,17.0,0.06317398423453502
116,0.10469479113817215,0.0,19.5,0.049986758053641334
117,0.12870506942272186,0.1875,24.1875,0.06496933958902353
118,0.14401042461395264,0.0,17.9375,0.06050110584506319
119,0.17393213510513306,0.125,19.5,0.05693184083394473
120,0.11861573159694672,0.0,14.5,0.06798855297145598
121,0.15780581533908844,0.1875,18.0,0.046001300851521765
122,0.14742843806743622,0.0625,16.6875,0.065031427313513
123,0.0860401839017868,0.0625,20.1875,0.06314239205919114
124,0.17981451749801636,0.0625,18.1875,0.053726185035948046
125,0.17765220999717712,0.0,17.5,0.05336934885817394
126,0.18289116024971008,0.0625,19.0,0.04870555673988766
127,0.16657951474189758,0.375,18.5625,0.05494448847046267
128,0.12239056080579758,0.125,20.375,0.06844367866610745
129,0.20703522861003876,0.3125,16.0625,0.06540297785689045
130,0.1449458748102188,0.0625,13.875,0.05758075166328792
131,0.20475822687149048,0.375,13.75,0.04764235222282977
132,0.12536005675792694,0.1875,16.375,0.05251851858622697
133,0.13465248048305511,0.0625,19.5625,0.07215373920927526
134,0.1599380224943161,0.0625,17.75,0.05308774541828061
135,0.13126033544540405,0.0625,14.5625,0.059646771311465174
136,0.29626673460006714,0.0,10.9375,0.04583291755881489
137,0.16709285974502563,0.0,12.9375,0.04616033960444574
138,0.1668730229139328,0.0,10.3125,0.03442597110502207
139,0.16849228739738464,0.0625,17.625,0.0576187229679308
140,0.36052262783050537,0.125,12.5625,0.04746879149260483
141,0.17290617525577545,0.0625,13.4375,0.05185462300701114
142,0.08202285319566727,0.0625,16.625,0.06774314546247268
143,0.2484166920185089,0.125,17.5625,0.06840252007484399
144,0.19715934991836548,0.1875,11.25,0.04670414699120293
145,0.12972083687782288,0.0625,20.125,0.06393513965708723
146,0.15512356162071228,0.0625,14.0625,0.05152792040254365
147,0.12797631323337555,0.0,13.75,0.05335339807157304
148,0.09080105274915695,0.125,12.375,0.05549063157219995
149,0.3079378008842468,0.125,12.8125,0.04680917705900914
150,0.48398566246032715,0.125,12.0625,0.042950287437234155
151,0.4162425100803375,0.4375,14.625,0.039209112736455984
152,0.33952048420906067,0.0625,11.625,0.039485171761872814
153,0.17902129888534546,0.375,14.125,0.04837642320631514
154,0.1566580981016159,0.125,14.9375,0.07141868620810213
155,0.1591600924730301,0.125,16.5,0.07412627409287842
156,0.13055531680583954,0.0625,17.625,0.058349715941208455
157,0.13147421181201935,0.0625,15.9375,0.0473274978777875
158,0.1099611446261406,0.0,17.75,0.05834078136284026
159,0.2964857518672943,0.4375,11.125,0.04056114238605027
160,0.2301299124956131,0.125,13.0,0.055632411498332784
161,0.2739585041999817,0.3125,9.0,0.056155544879965956
162,0.2039462924003601,0.25,12.625,0.05441769182541223
163,0.23512081801891327,0.0,12.25,0.05237555075019883
164,0.10979336500167847,0.0,19.0625,0.05420794743437089
165,0.18479478359222412,0.0625,15.4375,0.051928674156499675
166,0.1726229339838028,0.0625,12.5625,0.05553257819989982
