,Shading Maps
392,"[[ 0.06234414  0.18703242  0.18703242  0.34289277  4.14588529  1.9638404 ]
 [ 0.40523691  1.99501247  2.02618454  2.5872818   4.45760599  0.21820449]
 [ 1.15336658  6.85785536  8.72817955  8.07356608  1.77680798  0.09351621]
 [ 1.55860349  7.82418953  9.88154613  5.48628429  1.0286783   0.        ]
 [ 0.96633416  2.96134663  3.64713217  1.05985037  0.12468828  0.        ]
 [ 0.21820449  0.28054863  0.52992519  0.12468828  0.3117207   0.46758105]
 [ 0.09351621  0.15586035  0.37406484  0.49875312  0.46758105  1.77680798]
 [ 0.68578554  3.67830424  1.71446384  1.21571072  1.74563591  4.02119701]
 [ 2.08852868 10.          4.73815461  1.80798005  2.2755611   8.54114713]
 [ 3.74064838 10.          4.86284289  1.87032419  3.58478803 10.        ]]"
393,"[[ 0.          0.          0.          0.23529412  0.94117647  2.88235294]
 [ 0.          0.          0.29411765  1.17647059  4.35294118  6.29411765]
 [ 0.          0.23529412  1.17647059  4.17647059  6.52941176  7.76470588]
 [ 0.11764706  1.29411765  6.29411765  4.35294118  5.05882353  9.94117647]
 [ 0.47058824  5.58823529 10.          8.76470588  6.17647059 10.        ]
 [ 4.35294118 10.         10.         10.          5.11764706  8.76470588]
 [ 4.23529412 10.         10.         10.          6.47058824  8.88235294]
 [10.         10.         10.          1.76470588  0.05882353 10.        ]
 [ 3.76470588 10.          1.58823529  0.11764706  0.17647059 10.        ]
 [ 7.64705882 10.          2.35294118  0.          0.29411765 10.        ]]"
394,"[[ 0.05518764  0.27593819  0.16556291  0.          0.          1.10375276]
 [ 3.75275938  3.80794702  2.92494481  2.09713024  2.70419426  3.53200883]
 [ 9.05077263 10.          8.05739514  6.56732892  8.16777042  1.26931567]
 [ 2.59381898  5.07726269  6.45695364 10.          6.23620309  0.82781457]
 [ 0.60706402  3.14569536  8.83002208 10.          3.53200883  1.04856512]
 [ 0.82781457  3.75275938 10.          7.17439294 10.         10.        ]
 [ 3.14569536  8.33333333 10.         10.         10.         10.        ]
 [ 6.29139073  8.94039735  6.45695364 10.         10.         10.        ]
 [ 4.52538631  5.5187638   9.10596026 10.         10.         10.        ]
 [ 2.37306843  5.90507726  9.60264901  7.00883002  6.95364238  4.85651214]]"
395,"[[ 0.          0.14822134  0.3458498   0.24703557  0.39525692  0.24703557]
 [ 1.33399209  1.33399209  1.08695652  1.43280632  2.17391304  2.76679842]
 [ 2.66798419  3.7055336   3.40909091  3.35968379  7.95454545  8.74505929]
 [ 2.66798419  5.38537549  3.06324111  2.3715415   7.06521739  9.38735178]
 [ 2.3715415   5.03952569  3.31027668  1.48221344  3.06324111  3.95256917]
 [ 3.11264822 10.          9.58498024  6.71936759  4.10079051  7.41106719]
 [ 5.53359684 10.         10.         10.         10.         10.        ]
 [ 4.10079051 10.         10.         10.         10.         10.        ]
 [ 1.82806324  6.7687747  10.         10.          8.39920949  7.65810277]
 [ 0.14822134  0.3458498   1.72924901  1.97628458  5.03952569  9.14031621]]"
396,"[[ 0.15360983  0.2688172   0.19201229  0.46082949  0.96006144  1.26728111]
 [ 0.92165899  1.68970814  2.41935484  3.18740399  5.453149    7.1812596 ]
 [ 4.1858679   5.10752688  7.25806452  5.64516129  4.03225806  5.29953917]
 [ 4.64669739  7.37327189 10.          5.26113671  2.7265745   8.87096774]
 [ 2.4577573   3.95545315  8.25652842  6.49001536  5.99078341  5.03072197]
 [ 0.76804916  2.22734255  8.21812596  4.91551459  4.56989247 10.        ]
 [ 1.11367127  2.53456221  4.83870968  6.95084485 10.          1.22887865]
 [ 2.11213518  2.15053763  5.06912442 10.          7.14285714  0.07680492]
 [ 1.53609831  2.11213518  6.49001536 10.          9.1781874   1.26728111]
 [ 4.33947773  9.52380952 10.          0.84485407  0.30721966  0.        ]]"
397,"[[ 6.07476636 10.          5.88785047  1.54205607  1.68224299  0.37383178]
 [10.          5.37383178  2.10280374  3.97196262  0.79439252  0.        ]
 [10.          2.3364486  10.          9.95327103  6.21495327  2.42990654]
 [ 3.45794393 10.          9.76635514  4.53271028  0.98130841  0.51401869]
 [ 3.27102804  3.8317757   0.23364486  0.56074766  2.10280374  1.07476636]
 [ 3.59813084  0.37383178  0.65420561  1.12149533  9.81308411  2.47663551]
 [ 0.14018692  0.04672897  0.51401869 10.          9.43925234  3.78504673]
 [ 0.04672897  0.14018692  0.56074766 10.          3.08411215  4.95327103]
 [ 0.04672897  0.18691589  2.42990654  3.36448598  3.45794393  5.04672897]
 [ 0.14018692  0.98130841  2.85046729  3.73831776  4.34579439 10.        ]]"
398,"[[ 0.          0.18987342  0.37974684  0.69620253  0.44303797  0.12658228]
 [ 0.          1.26582278  3.98734177  4.6835443   3.67088608  4.55696203]
 [ 0.50632911  3.5443038  10.          9.24050633  7.34177215  9.55696203]
 [ 1.20253165  5.18987342 10.         10.          7.02531646  8.98734177]
 [ 6.39240506  8.86075949  9.74683544  7.59493671 10.         10.        ]
 [10.         10.          7.34177215 10.         10.         10.        ]
 [ 9.6835443   7.78481013  5.3164557  10.         10.          1.96202532]
 [ 3.92405063  1.83544304  3.73417722 10.         10.          0.75949367]
 [ 0.56962025  0.25316456  3.98734177 10.         10.          1.26582278]
 [10.          7.72151899  4.24050633  6.96202532 10.          2.78481013]]"
399,"[[ 0.61881188  1.60891089  5.7549505   3.34158416  0.4950495   0.        ]
 [ 1.17574257  5.32178218 10.          7.61138614  1.23762376  0.        ]
 [ 2.16584158  6.25       10.         10.          1.42326733  0.24752475]
 [ 3.34158416  4.51732673 10.          6.68316832  5.63118812  1.73267327]
 [ 3.6509901   6.80693069 10.         10.          2.35148515  0.43316832]
 [ 6.93069307 10.         10.          4.26980198  1.23762376  3.03217822]
 [10.         10.         10.          5.69306931  3.96039604  6.06435644]
 [ 2.97029703 10.         10.          6.12623762  6.37376238  5.69306931]
 [ 1.11386139  7.92079208 10.          5.44554455  7.17821782 10.        ]
 [ 0.55693069  3.27970297  5.56930693  6.37376238 10.          9.77722772]]"
400,"[[ 0.          0.19470405  0.19470405  2.21962617  1.63551402  0.73987539]
 [ 0.          1.32398754  4.04984424  3.62149533  1.40186916  0.89563863]
 [ 0.15576324  7.35981308  8.45015576  2.57009346  1.5576324   1.51869159]
 [ 6.30841121 10.          6.50311526  1.36292835  3.97196262  4.71183801]
 [10.         10.          5.49065421 10.         10.         10.        ]
 [ 6.97040498 10.          4.40031153  3.42679128  8.25545171 10.        ]
 [ 3.81619938  6.30841121  3.93302181  3.5046729   6.77570093 10.        ]
 [ 3.30996885  4.94548287  4.04984424  3.46573209  4.40031153  8.17757009]
 [ 2.14174455  2.68691589  2.99844237  2.29750779  2.49221184  5.17912773]
 [ 0.81775701  1.09034268  1.1682243   0.66199377  2.7258567   4.82866044]]"
401,"[[ 0.          0.          0.88691796  3.27050998  6.59645233  4.60088692]
 [ 0.05543237  0.16629712  1.2195122   4.21286031  6.26385809  2.32815965]
 [ 0.66518847  1.33037694  2.16186253  3.49223947  1.71840355  0.88691796]
 [ 4.87804878  5.76496674 10.         10.          9.53436807  4.82261641]
 [10.         10.         10.          7.03991131  3.60310421  0.72062084]
 [ 3.60310421  9.09090909 10.         10.          3.15964523  2.2172949 ]
 [ 1.55210643 10.         10.          9.20177384  5.654102    3.60310421]
 [10.          6.26385809  7.92682927 10.          9.20177384  2.32815965]
 [ 4.54545455  6.15299335 10.         10.          8.70288248  7.76053215]
 [ 3.76940133  6.31929047 10.         10.         10.          8.48115299]]"
402,"[[ 4.91573034  7.86516854  6.17977528  3.72191011  7.37359551 10.        ]
 [ 5.05617978  9.90168539  8.42696629 10.         10.          6.39044944]
 [ 6.74157303 10.         10.         10.          7.65449438  2.45786517]
 [10.         10.         10.         10.          6.95224719  3.23033708]
 [10.         10.         10.          6.67134831  5.96910112  2.9494382 ]
 [10.         10.          5.61797753  3.44101124  3.16011236  1.96629213]
 [10.         10.          0.28089888  0.84269663  1.19382022  0.77247191]
 [ 8.35674157  3.23033708  1.12359551  0.70224719  0.          1.12359551]
 [ 4.91573034  6.46067416  8.00561798  3.16011236  1.26404494  2.38764045]
 [ 2.31741573  9.12921348 10.          4.49438202  3.08988764  4.35393258]]"
403,"[[ 0.62076749 10.         10.          5.36117381  2.93453725  1.58013544]
 [10.         10.          9.8758465  10.          7.39277652  2.20090293]
 [ 3.16027088 10.         10.         10.          5.98194131  4.68397291]
 [10.          7.73137698 10.          8.80361174 10.         10.        ]
 [ 8.97291196 10.          7.84424379 10.         10.         10.        ]
 [ 7.2234763   5.02257336  8.18284424  6.65914221  8.40857788 10.        ]
 [ 3.9503386   5.9255079   7.61851016  9.36794582  6.48984199  7.67494357]
 [ 3.83747178  5.248307   10.          7.67494357  1.07223476  1.74943567]
 [ 2.03160271 10.         10.          0.90293454  0.22573363  0.50790068]
 [ 1.74943567  4.28893905  0.50790068  0.          0.          0.        ]]"
404,"[[ 7.11538462 10.         10.          7.43589744  3.3974359   2.43589744]
 [ 7.62820513 10.         10.          9.1025641   4.74358974  4.48717949]
 [ 3.33333333  4.61538462  1.98717949  2.75641026  4.80769231  6.6025641 ]
 [ 0.64102564  2.30769231  0.          1.08974359  7.43589744  6.41025641]
 [ 6.41025641  4.48717949  0.38461538  2.24358974 10.          1.08974359]
 [10.         10.          1.41025641 10.          3.97435897  0.44871795]
 [10.         10.         10.          8.84615385  0.8974359   0.83333333]
 [ 8.26923077 10.         10.          3.46153846  3.07692308 10.        ]
 [ 7.24358974 10.          4.87179487  3.20512821  7.88461538 10.        ]
 [ 7.62820513  3.78205128  1.15384615  2.88461538 10.         10.        ]]"
405,"[[ 0.11933174  3.16229117 10.          7.51789976  1.31264916  5.31026253]
 [ 8.94988067 10.          4.53460621  2.20763723  7.39856802 10.        ]
 [ 9.48687351  5.60859189  5.60859189  5.84725537 10.         10.        ]
 [ 2.92362768  8.23389021  9.60620525 10.          8.8902148   6.74224344]
 [ 7.57756563 10.         10.         10.          8.65155131  2.44630072]
 [10.         10.         10.          7.81622912  5.07159905  1.67064439]
 [10.         10.         10.          6.86157518  4.47494033  0.89498807]
 [ 8.35322196 10.          8.4725537   9.96420048  2.56563246  0.29832936]
 [ 3.5202864   5.3699284  10.          6.92124105  0.17899761  0.        ]
 [ 1.43198091  7.45823389  7.33890215  0.89498807  0.          0.        ]]"
406,"[[ 0.          0.37174721  2.27695167  9.57249071 10.         10.        ]
 [ 0.23234201  0.69702602  3.43866171 10.         10.         10.        ]
 [ 4.41449814 10.         10.          9.85130112  7.80669145 10.        ]
 [ 8.45724907  8.82899628  6.45910781  3.1598513   3.53159851  5.29739777]
 [ 6.64498141  7.52788104  6.41263941  4.04275093  4.55390335  1.48698885]
 [ 6.92379182  6.97026022  4.83271375  2.74163569  6.97026022  9.20074349]
 [ 4.50743494  2.78810409  1.48698885  1.30111524 10.         10.        ]
 [ 2.09107807  2.18401487  3.57806691 10.          9.94423792  5.34386617]
 [ 1.81226766  2.92750929  4.08921933  7.10966543  9.71189591  3.1133829 ]
 [ 0.69702602  0.23234201  0.55762082  4.50743494  6.64498141  2.23048327]]"
407,"[[ 0.41176471  9.11764706 10.          0.          1.          3.35294118]
 [ 1.41176471 10.         10.          0.          1.94117647  7.29411765]
 [ 4.41176471 10.          7.35294118  0.          2.41176471  6.17647059]
 [ 9.05882353 10.          1.          0.64705882  1.05882353  3.05882353]
 [10.         10.          6.52941176  5.64705882  1.29411765  2.52941176]
 [10.         10.          9.76470588  4.52941176  2.17647059  2.41176471]
 [ 5.88235294  8.64705882  3.52941176  3.17647059  2.70588235  2.29411765]
 [ 6.70588235 10.          7.35294118  6.64705882  6.76470588  1.76470588]
 [ 9.35294118 10.         10.         10.         10.          2.23529412]
 [ 5.35294118 10.         10.          9.94117647  8.58823529  1.88235294]]"
408,"[[ 0.69444444  2.45726496 10.          1.6025641   1.06837607  1.5491453 ]
 [ 1.97649573  7.7457265  10.          2.88461538  4.38034188  1.06837607]
 [ 3.41880342  8.54700855 10.          4.59401709  2.35042735  0.        ]
 [ 1.76282051  5.98290598  8.01282051  5.55555556  4.7008547   7.31837607]
 [ 1.06837607  3.31196581  4.59401709  4.59401709 10.         10.        ]
 [ 0.96153846  1.97649573  3.95299145 10.         10.         10.        ]
 [ 0.69444444  1.01495726  1.17521368  2.13675214  2.40384615  0.96153846]
 [ 2.02991453  1.4957265   3.1517094   5.50213675  1.92307692  2.35042735]
 [ 3.79273504  3.63247863 10.          3.1517094   3.31196581  4.86111111]
 [ 4.7542735  10.          9.56196581  2.08333333  3.36538462  2.51068376]]"
409,"[[ 0.          0.          0.56666667  2.23333333  6.96666667  5.5       ]
 [ 0.          0.1         0.83333333  9.43333333 10.         10.        ]
 [ 1.2         4.13333333  5.66666667  6.66666667  8.9        10.        ]
 [ 3.26666667  3.83333333  4.73333333  4.5         6.46666667  7.86666667]
 [ 3.2         6.46666667  7.36666667  7.76666667  5.23333333  3.66666667]
 [ 1.16666667  1.96666667  3.56666667  4.76666667  4.23333333  4.03333333]
 [ 4.53333333  5.96666667  3.86666667  2.36666667  3.2         4.13333333]
 [ 5.86666667  6.9         3.9         1.03333333  2.43333333  3.63333333]
 [ 0.          0.03333333  0.03333333  0.66666667  1.9         2.63333333]
 [ 0.          0.          0.          1.          3.7         5.        ]]"
410,"[[ 0.06849315  0.          0.34246575  0.34246575  1.23287671  1.23287671]
 [ 0.          0.82191781  1.43835616  3.08219178  3.15068493  3.08219178]
 [ 0.4109589   1.23287671  6.36986301 10.         10.          7.26027397]
 [ 0.06849315  2.05479452  8.56164384 10.         10.         10.        ]
 [ 0.47945205  2.12328767  6.50684932 10.         10.         10.        ]
 [ 1.43835616  2.26027397  5.68493151 10.         10.         10.        ]
 [ 3.69863014  3.08219178  4.65753425  7.60273973  9.7260274  10.        ]
 [ 7.26027397  6.64383562  4.31506849  5.89041096  9.8630137  10.        ]
 [ 6.57534247  4.52054795  6.50684932  6.43835616 10.         10.        ]
 [ 4.04109589  3.90410959  4.45205479  9.65753425 10.         10.        ]]"
411,"[[ 0.05050505  6.11111111 10.          0.90909091  0.25252525  0.05050505]
 [ 0.60606061 10.         10.          1.56565657  1.81818182  1.76767677]
 [10.         10.          8.08080808  0.85858586  5.65656566 10.        ]
 [10.         10.          8.63636364 10.         10.         10.        ]
 [ 6.81818182 10.         10.          1.21212121 10.          8.88888889]
 [ 8.68686869 10.          5.95959596  1.31313131  4.29292929  3.48484848]
 [ 8.28282828  9.34343434  6.46464646  7.77777778  6.61616162  6.61616162]
 [ 7.67676768 10.         10.          3.08080808  3.18181818 10.        ]
 [ 5.85858586  2.82828283  1.11111111  0.45454545  5.55555556  0.        ]
 [ 0.2020202   0.4040404   0.15151515  0.85858586  0.          0.        ]]"
412,"[[ 0.          0.90673575  1.61917098  6.28238342 10.          8.5492228 ]
 [ 2.59067358 10.         10.          9.77979275 10.          0.25906736]
 [ 1.23056995  9.52072539  9.32642487  9.97409326 10.          0.38860104]
 [ 1.29533679 10.          8.87305699  9.58549223 10.          4.85751295]
 [ 0.84196891  5.82901554 10.          7.83678756 10.         10.        ]
 [ 0.45336788  5.63471503 10.         10.         10.         10.        ]
 [ 0.45336788  6.67098446 10.         10.         10.          5.50518135]
 [ 1.61917098  6.0880829  10.         10.          5.50518135  3.10880829]
 [ 0.90673575  7.51295337 10.          9.45595855  4.14507772  5.44041451]
 [ 0.51813472  3.82124352  8.2253886   4.46891192  2.97927461  7.31865285]]"
413,"[[ 2.50696379 10.         10.          8.91364903  9.88857939 10.        ]
 [ 0.76601671  4.87465181  6.1281337   6.19777159 10.         10.        ]
 [ 0.4178273   1.39275766  0.55710306  3.48189415 10.          9.19220056]
 [ 3.20334262  3.2729805   1.53203343  9.88857939  7.03342618  5.77994429]
 [ 4.45682451  7.3816156   6.68523677 10.          4.24791086  5.50139276]
 [ 3.76044568  8.49582173 10.         10.          8.70473538  4.17827298]
 [ 2.71587744 10.         10.         10.          8.42618384  2.36768802]
 [ 7.03342618 10.          9.88857939  4.17827298  2.71587744  2.15877437]
 [10.         10.          0.34818942  0.20891365  1.39275766  1.53203343]
 [10.         10.          0.          0.69637883  1.94986072  1.81058496]]"
414,"[[ 8.70098039  9.92647059  8.7622549   4.22794118  2.14460784  8.94607843]
 [10.         10.          6.74019608  3.7377451  10.          4.10539216]
 [ 7.84313725  4.96323529  1.83823529  5.88235294 10.          9.31372549]
 [ 3.79901961  0.49019608  1.96078431 10.         10.          7.35294118]
 [ 0.30637255  1.8995098  10.         10.          3.125       0.6127451 ]
 [ 2.57352941  8.1495098   6.55637255  0.36764706  0.18382353  1.10294118]
 [ 8.39460784  5.88235294  0.49019608  0.30637255  4.53431373  0.        ]
 [ 7.35294118  5.94362745  1.83823529  6.25        4.41176471  2.5122549 ]
 [ 8.94607843  9.06862745  7.04656863 10.          7.16911765 10.        ]
 [ 7.53676471  8.70098039 10.          6.49509804  4.77941176 10.        ]]"
415,"[[ 0.          0.03665689  0.36656891  0.95307918  0.95307918  1.06304985]
 [ 0.          0.40322581  1.79618768  4.47214076  3.04252199  4.06891496]
 [ 0.18328446  1.90615836  6.19501466  8.50439883 10.         10.        ]
 [ 1.46627566  4.36217009  8.72434018 10.         10.         10.        ]
 [ 2.12609971  6.70821114  8.46774194 10.         10.         10.        ]
 [ 2.82258065  3.73900293  4.06891496 10.         10.          5.02199413]
 [ 2.45601173  1.06304985  8.1744868   3.77565982  4.50879765  0.95307918]
 [ 0.91642229  4.83870968  1.86950147  1.94281525  1.13636364  1.09970674]
 [ 1.83284457  5.75513196  3.29912023  0.58651026  0.73313783  3.33577713]
 [ 1.09970674  8.35777126  6.52492669  0.40322581  0.65982405  4.43548387]]"
416,"[[ 2.47201493  7.92910448  8.16231343  2.23880597  0.41977612  2.00559701]
 [ 7.18283582 10.          5.31716418  2.05223881  5.87686567  5.08395522]
 [10.         10.          7.50932836 10.         10.         10.        ]
 [10.          9.51492537 10.          3.77798507  3.6380597   4.6641791 ]
 [10.         10.          3.45149254  0.37313433  0.97947761  1.5391791 ]
 [10.         10.          3.125       0.74626866  0.          0.18656716]
 [10.          8.72201493  2.33208955  0.46641791  0.13992537  0.18656716]
 [ 1.39925373  3.03171642  3.07835821  1.16604478  0.88619403  1.44589552]
 [10.         10.          6.34328358  2.14552239  4.24440299  5.55037313]
 [ 1.16604478  0.04664179  0.46641791  2.98507463  5.7369403   5.7369403 ]]"
417,"[[ 0.          0.05387931  3.07112069 10.         10.          6.62715517]
 [ 0.37715517  2.69396552 10.         10.          7.59698276  4.31034483]
 [ 7.97413793  7.75862069 10.          9.26724138  7.21982759  6.41163793]
 [10.          9.96767241  4.63362069  5.44181034  5.87284483  5.7112069 ]
 [10.         10.          7.8125      4.63362069  4.63362069  6.08836207]
 [ 4.90301724  6.08836207  5.65732759  7.2737069   6.19612069  4.41810345]
 [ 2.96336207  4.52586207  9.32112069  9.48275862  8.3512931   3.77155172]
 [ 3.01724138  7.75862069  6.30387931  8.56681034  9.10560345  2.1012931 ]
 [ 5.49568966  2.26293103  4.57974138 10.          1.99353448  0.75431034]
 [ 0.64655172  1.13146552 10.          4.04094828  0.70043103  0.37715517]]"
418,"[[ 8.60091743 10.         10.          1.03211009  0.1146789   0.        ]
 [ 1.83486239  3.26834862  1.20412844  0.40137615  0.          0.        ]
 [ 1.20412844  1.37614679  0.74541284  0.5733945   0.17201835  0.1146789 ]
 [ 3.26834862  6.3646789   2.12155963  2.17889908  1.20412844  0.40137615]
 [ 9.17431193 10.          7.45412844  8.94495413  5.21788991  3.15366972]
 [10.         10.         10.         10.          9.05963303  5.7912844 ]
 [ 7.11009174  8.02752294 10.         10.          5.38990826  1.20412844]
 [ 1.89220183  8.42889908  6.99541284 10.          2.69495413  9.40366972]
 [ 3.84174312  7.68348624 10.         10.         10.          8.48623853]
 [ 9.40366972  4.41513761 10.         10.          7.22477064 10.        ]]"
419,"[[ 0.          0.          0.56390977  0.23496241  0.          1.22180451]
 [ 0.          0.04699248  2.20864662  0.04699248  0.89285714  5.21616541]
 [ 0.          0.98684211  5.63909774  0.42293233  7.37781955  7.84774436]
 [ 0.14097744  5.35714286  7.51879699  6.10902256 10.          9.96240602]
 [ 0.14097744  8.59962406  6.10902256 10.         10.          5.31015038]
 [ 1.03383459 10.         10.         10.          7.84774436  7.84774436]
 [ 5.4981203  10.          5.21616541  7.42481203 10.          7.14285714]
 [ 5.92105263  6.71992481  6.95488722 10.          5.87406015 10.        ]
 [ 2.11466165  3.90037594  9.39849624  5.12218045  9.44548872 10.        ]
 [ 0.7518797   4.46428571  3.9943609   2.81954887 10.          2.11466165]]"
420,"[[ 0.          0.0547046   0.10940919  0.98468271  2.18818381  3.3916849 ]
 [ 0.          0.32822757  1.20350109  2.07877462  4.15754923  4.86870897]
 [ 0.27352298  2.2428884   4.10284464  5.85339168  9.29978118 10.        ]
 [ 0.92997812  4.37636761  8.80743982 10.         10.         10.        ]
 [ 4.15754923  8.80743982 10.         10.         10.         10.        ]
 [ 4.86870897  7.71334792  9.57330416 10.          7.49452954  8.20568928]
 [ 5.47045952  5.25164114 10.          5.85339168  5.19693654  5.57986871]
 [ 3.61050328  3.66520788  4.15754923  2.46170678  3.71991247  4.595186  ]
 [ 1.0940919   1.1487965   0.82056893  0.87527352  1.91466083  2.57111597]
 [ 0.82056893  1.91466083  2.95404814  4.26695842  5.41575492  4.48577681]]"
421,"[[ 0.14563107  1.26213592  3.30097087  4.75728155  2.91262136  2.33009709]
 [ 0.29126214  2.33009709 10.         10.         10.         10.        ]
 [ 0.24271845  2.23300971  8.83495146 10.         10.         10.        ]
 [ 0.          0.77669903  3.78640777  8.15533981  9.80582524 10.        ]
 [ 0.67961165  1.11650485  1.60194175  2.62135922  4.46601942  6.60194175]
 [ 1.99029126  2.81553398  1.84466019  2.23300971  9.70873786 10.        ]
 [ 3.98058252  4.95145631  3.6407767   3.00970874  2.91262136  1.7961165 ]
 [ 4.32038835  5.04854369  3.49514563  2.57281553  1.06796117  0.97087379]
 [ 2.13592233  2.47572816  2.86407767  2.76699029  1.45631068  2.18446602]
 [ 0.33980583  2.03883495  5.33980583  5.82524272  3.78640777  3.34951456]]"
422,"[[ 2.88461538  6.27530364  4.90890688  1.06275304  0.05060729  0.        ]
 [ 1.97368421  5.46558704  4.30161943  1.41700405  0.15182186  0.15182186]
 [ 1.31578947  3.59311741  3.74493927  0.96153846  0.35425101  0.25303644]
 [ 0.60728745  3.2388664   2.32793522  1.16396761  1.97368421  1.46761134]
 [ 0.75910931  3.54251012  2.63157895  4.048583    8.0465587  10.        ]
 [ 2.22672065  7.33805668 10.         10.         10.         10.        ]
 [ 6.57894737 10.         10.         10.         10.         10.        ]
 [ 5.46558704  8.8562753   8.70445344 10.         10.          8.95748988]
 [ 6.98380567  7.18623482 10.         10.          7.48987854  5.06072874]
 [ 4.95951417  9.56477733  8.35020243  7.33805668  4.4534413   2.47975709]]"
423,"[[ 0.68681319  2.12912088  7.00549451 10.         10.         10.        ]
 [ 2.88461538  5.28846154  7.89835165 10.         10.         10.        ]
 [ 9.82142857 10.          8.1043956   7.96703297 10.         10.        ]
 [10.         10.          7.07417582  5.08241758  9.5467033   7.96703297]
 [ 9.89010989 10.          2.74725275  4.67032967  3.2967033   5.28846154]
 [ 4.0521978   2.54120879 10.          3.2967033   6.45604396  9.61538462]
 [ 0.61813187  8.85989011  4.32692308  3.02197802 10.         10.        ]
 [ 4.0521978  10.          0.27472527  2.33516484 10.         10.        ]
 [10.          0.          0.06868132  0.82417582  3.64010989  9.13461538]
 [ 0.68681319  0.06868132  0.06868132  0.         10.          6.79945055]]"
424,"[[ 1.79814385  3.0162413   2.55220418  2.90023202  2.90023202  5.33642691]
 [ 3.65429234  4.93039443  5.04640371  5.56844548 10.         10.        ]
 [ 3.77030162  4.81438515  6.26450116 10.         10.         10.        ]
 [ 1.85614849  6.43851508  7.42459397 10.         10.          6.612529  ]
 [ 2.32018561  3.94431555 10.         10.          8.64269142  5.22041763]
 [ 1.45011601  7.83062645 10.         10.         10.          8.58468677]
 [ 3.8863109  10.         10.         10.         10.          6.3225058 ]
 [ 7.94663573  7.36658933  7.13457077 10.         10.          4.23433875]
 [ 4.87238979  1.62412993  2.20417633  6.26450116 10.          4.17633411]
 [ 0.5800464   0.          0.05800464  0.75406032  4.40835267  0.52204176]]"
425,"[[ 9.21325052  2.27743271  0.          0.56935818  0.67287785  1.55279503]
 [10.          0.62111801  1.39751553  1.6563147   3.88198758  4.08902692]
 [10.          3.4679089   2.53623188  2.95031056  4.76190476  4.9689441 ]
 [ 5.74534161  6.21118012  4.65838509  5.02070393  4.34782609  6.4699793 ]
 [ 4.19254658  6.6252588   7.14285714  8.69565217  9.16149068  9.05797101]
 [ 2.53623188  7.19461698 10.         10.         10.         10.        ]
 [ 1.96687371  6.93581781 10.         10.         10.          5.02070393]
 [ 1.29399586  2.69151139  6.4699793  10.         10.          7.91925466]
 [ 0.          1.03519669  3.10559006  8.69565217 10.          5.48654244]
 [ 0.31055901  1.70807453  1.60455487  0.93167702  1.29399586  2.38095238]]"
426,"[[ 0.20949721 10.          3.35195531 10.         10.         10.        ]
 [10.          1.46648045  1.46648045  2.65363128  2.79329609  3.0726257 ]
 [ 1.60614525  2.37430168  9.70670391  6.07541899  3.0726257   3.35195531]
 [ 4.67877095 10.         10.         10.         10.         10.        ]
 [ 2.58379888 10.         10.         10.         10.         10.        ]
 [ 1.95530726 10.          4.81843575 10.         10.          4.81843575]
 [10.          4.12011173 10.         10.          5.72625698  5.51675978]
 [10.          6.2849162   7.33240223  1.88547486  2.16480447 10.        ]
 [ 3.2122905   0.90782123  0.          0.20949721  8.72905028 10.        ]
 [ 0.0698324   0.          0.0698324   6.00558659  5.86592179  1.74581006]]"
427,"[[ 0.          0.          0.          0.03263708  0.03263708  0.        ]
 [ 0.          0.          0.          0.16318538  0.26109661  0.58746736]
 [ 0.          0.06527415  0.35900783  1.79503916  4.34073107  4.01436031]
 [ 0.03263708  0.48955614  2.18668407  6.39686684  8.45300261  4.99347258]
 [ 0.16318538  0.32637076  2.02349869  5.67885117  8.94255875 10.        ]
 [ 0.09791123  0.29373368  1.43603133  6.46214099 10.         10.        ]
 [ 0.16318538  0.65274151  4.63446475 10.         10.         10.        ]
 [ 0.42428198  1.14229765  4.76501305 10.         10.          5.6462141 ]
 [ 0.42428198  1.69712794  2.96997389  3.45953003  4.30809399  4.27545692]
 [ 0.22845953  1.04438642  2.154047    4.14490862 10.          4.40600522]]"
428,"[[ 0.03056235  0.30562347  0.94743276  6.26528117  7.27383863  3.8202934 ]
 [ 0.12224939  0.85574572  2.32273839 10.         10.         10.        ]
 [ 0.70293399  1.19193154  2.07823961 10.          7.48777506  3.88141809]
 [ 0.21393643  1.46699267  2.47555012  3.2396088   7.24327628 10.        ]
 [ 0.55012225  1.00855746  1.46699267  1.13080685  0.09168704  1.86430318]
 [ 0.15281174  0.64180929  0.97799511  0.48899756  0.30562347  1.25305623]
 [ 0.03056235  0.48899756  0.97799511  0.64180929  0.73349633  3.08679707]
 [ 0.18337408  0.55012225  1.46699267  1.49755501  6.26528117  1.71149144]
 [ 0.15281174  0.88630807  1.86430318  9.07701711  3.27017115  3.14792176]
 [ 0.          0.94743276  7.85452323  3.78973105  4.58435208  6.05134474]]"
