,Shading Maps
20,"[[ 1.85421995  7.4168798   9.39897698  5.88235294  2.30179028  0.51150895]
 [ 6.52173913  8.4398977   6.39386189  4.15601023  1.15089514  1.21483376]
 [ 2.23785166  6.90537084  7.73657289  3.45268542  2.62148338  2.62148338]
 [ 4.85933504  8.1202046   3.45268542  2.74936061  2.94117647  1.53452685]
 [ 7.16112532  1.85421995  2.17391304  3.90025575  2.68542199  0.19181586]
 [ 1.79028133  2.81329923 10.         10.          2.68542199  1.98209719]
 [ 0.          3.90025575 10.         10.          6.01023018 10.        ]
 [ 0.06393862  1.08695652  2.74936061  3.96419437  8.4398977  10.        ]
 [ 0.25575448  1.91815857  9.65473146  9.91048593  7.99232737 10.        ]
 [ 0.57544757 10.         10.         10.          9.71867008  6.32992327]]"
21,"[[ 1.25944584 10.          1.70025189  1.76322418  2.58186398  3.84130982]
 [10.          9.63476071  8.8790932   8.75314861 10.          8.37531486]
 [ 3.77833753 10.         10.         10.          8.75314861 10.        ]
 [ 3.46347607 10.         10.          2.51889169  3.40050378 10.        ]
 [ 1.25944584  3.40050378  2.77078086  0.56675063  3.08564232 10.        ]
 [ 0.          0.62972292  1.00755668  4.97481108  4.59697733 10.        ]
 [ 0.          2.64483627  8.75314861  3.27455919  1.76322418 10.        ]
 [ 2.14105793  9.00503778  3.2115869   4.40806045  8.56423174  8.50125945]
 [ 6.73803526  1.70025189  0.06297229 10.         10.          5.16372796]
 [ 7.2418136   6.67506297  3.2115869   5.85642317 10.         10.        ]]"
22,"[[ 3.25732899  5.29315961  0.69218241  0.08143322  0.6514658   1.34364821]
 [ 3.99022801  7.77687296  1.66938111  0.          0.73289902  3.01302932]
 [ 3.6237785   5.49674267  1.6286645   0.48859935  1.18078176  4.76384365]
 [ 1.95439739  4.23452769  2.07654723  0.69218241  1.22149837  3.82736156]
 [ 3.25732899  4.39739414  4.23452769  1.14006515  0.93648208  1.22149837]
 [ 3.54234528  5.61889251  4.19381107  1.87296417  0.69218241  0.44788274]
 [ 5.13029316  6.35179153  4.07166124  1.42508143  1.18078176  1.09934853]
 [10.         10.          5.78175896  2.23941368  2.28013029 10.        ]
 [ 4.68241042 10.          8.8762215   3.37947883  5.29315961 10.        ]
 [ 5.00814332 10.          8.91693811  6.39250814  8.2247557   7.77687296]]"
23,"[[ 0.          0.1048218   0.          0.1572327   1.31027254  3.35429769]
 [ 0.1048218   0.78616352  1.46750524  0.68134172  3.14465409  4.29769392]
 [ 0.41928721  2.62054507  3.87840671  2.09643606  6.18448637  3.03983229]
 [ 0.62893082  4.76939203  6.49895178  4.66457023  5.66037736  2.41090147]
 [ 1.31027254  8.17610063  9.74842767  7.0230608   4.35010482  0.89098532]
 [10.         10.          5.50314465  7.2327044  10.         10.        ]
 [ 2.83018868  3.14465409  3.721174    3.5115304   3.4067086  10.        ]
 [ 5.92243187  6.13207547  2.93501048  3.14465409 10.         10.        ]
 [ 7.86163522  5.60796646  4.61215933  6.44654088 10.          4.14046122]
 [ 6.07966457  7.0230608   7.49475891  4.71698113 10.         10.        ]]"
24,"[[ 0.05592841  0.89485459  1.11856823  3.3557047   0.22371365  0.        ]
 [ 1.11856823  3.13199105  3.29977629  5.14541387  0.55928412  0.        ]
 [ 1.39821029  4.02684564  4.97762864 10.          1.11856823  0.16778523]
 [ 1.39821029  5.08948546 10.          7.82997763  1.11856823  0.16778523]
 [ 1.62192394  4.25055928 10.          5.31319911  1.06263982  0.05592841]
 [ 2.12527964  6.31991051 10.          7.60626398  1.34228188  0.55928412]
 [ 5.87248322 10.         10.          8.27740492  2.46085011  3.3557047 ]
 [10.         10.         10.          8.1655481   5.48098434  9.22818792]
 [10.         10.         10.         10.          8.94854586  9.34004474]
 [ 3.69127517 10.         10.          9.56375839  4.86577181  9.1163311 ]]"
25,"[[ 0.          0.67164179 10.          8.73134328  0.14925373  0.2238806 ]
 [ 1.11940299 10.         10.          2.01492537  1.34328358  1.04477612]
 [10.          3.65671642 10.          7.91044776  7.31343284  3.05970149]
 [ 2.8358209  10.         10.         10.         10.          3.80597015]
 [ 6.94029851 10.         10.         10.         10.          4.7761194 ]
 [ 4.70149254 10.         10.         10.          8.65671642  4.32835821]
 [ 4.92537313  9.32835821 10.         10.          6.86567164  4.02985075]
 [ 5.37313433  9.32835821  8.43283582 10.         10.         10.        ]
 [ 6.04477612  7.3880597   6.26865672 10.          6.34328358 10.        ]
 [ 4.7761194   6.41791045  3.13432836 10.          7.1641791   9.25373134]]"
26,"[[ 1.23076923  2.42307692  1.96153846  0.84615385  0.19230769  0.        ]
 [ 1.61538462  3.46153846  3.69230769  0.84615385  0.5         0.5       ]
 [ 2.          4.76923077  9.30769231  7.03846154  2.76923077  2.34615385]
 [ 1.15384615  3.88461538 10.         10.          3.76923077  1.34615385]
 [ 5.88461538  8.30769231  8.96153846  4.84615385  2.11538462  1.03846154]
 [ 9.92307692 10.          4.07692308  1.34615385  1.80769231  1.57692308]
 [ 0.84615385  2.07692308  1.42307692  2.15384615  3.76923077  1.88461538]
 [ 0.23076923  7.15384615  5.46153846  9.57692308  3.88461538  1.84615385]
 [ 8.65384615 10.         10.          5.61538462  5.53846154 10.        ]
 [ 0.46153846 10.          7.38461538  3.76923077  6.19230769 10.        ]]"
27,"[[ 0.          0.          0.          0.          0.          1.5625    ]
 [ 0.          0.          3.19010417 10.         10.         10.        ]
 [ 1.62760417  5.078125    8.46354167  0.          8.0078125   1.171875  ]
 [ 0.          0.          0.          2.86458333  8.13802083  0.71614583]
 [ 0.          0.          0.13020833 10.          1.23697917  3.25520833]
 [ 0.13020833  0.13020833  5.078125    2.66927083  2.66927083  6.8359375 ]
 [ 0.9765625   2.1484375   7.87760417  1.82291667  6.25       10.        ]
 [ 3.7109375   9.83072917  8.85416667 10.         10.         10.        ]
 [ 8.72395833 10.         10.         10.         10.         10.        ]
 [ 9.83072917 10.         10.          9.04947917 10.         10.        ]]"
28,"[[ 6.16666667  6.44444444  7.5        10.         10.          3.38888889]
 [ 5.33333333 10.         10.         10.          7.5         6.        ]
 [ 1.61111111  6.44444444 10.         10.          4.55555556  3.        ]
 [ 0.77777778  3.77777778  7.22222222  2.61111111  0.16666667  1.16666667]
 [ 2.22222222  4.44444444  2.94444444  1.27777778  1.22222222  1.66666667]
 [ 2.94444444  4.16666667  7.05555556  5.88888889  2.61111111  2.88888889]
 [10.         10.          8.83333333  3.61111111  2.11111111  6.11111111]
 [ 0.72222222  7.38888889  3.5         0.55555556  8.61111111  6.        ]
 [ 5.          5.38888889  0.83333333  0.72222222 10.          4.05555556]
 [ 1.88888889 10.          5.72222222  0.         10.          1.27777778]]"
29,"[[ 0.          1.42857143  7.72727273  2.79220779  2.92207792  0.77922078]
 [ 0.51948052  8.83116883  5.77922078  4.35064935  3.63636364  1.1038961 ]
 [ 4.54545455 10.          5.06493506  5.64935065  4.02597403  1.68831169]
 [10.          8.31168831  4.35064935  5.90909091  3.8961039   8.11688312]
 [ 8.11688312  5.45454545  4.28571429  6.88311688 10.         10.        ]
 [ 3.44155844  4.02597403 10.         10.         10.         10.        ]
 [ 4.93506494 10.         10.          8.44155844  8.83116883  6.55844156]
 [ 7.33766234  9.67532468 10.         10.          2.98701299  3.05194805]
 [10.         10.         10.          9.48051948  2.46753247  1.49350649]
 [ 7.85714286 10.         10.          9.67532468  9.22077922  8.50649351]]"
