,Shading Maps
20,"[[ 4.46428571  6.76020408  6.63265306  5.73979592 10.          4.01785714]
 [ 6.8877551  10.          8.48214286  6.05867347  8.22704082  2.93367347]
 [ 1.53061224  3.31632653  4.91071429  5.86734694  3.89030612  1.53061224]
 [ 0.          1.97704082  7.97193878  9.18367347  2.80612245  0.25510204]
 [ 0.70153061  2.67857143  8.60969388  9.50255102  3.50765306  2.29591837]
 [ 1.33928571  3.38010204  6.82397959  7.01530612  4.14540816  4.9744898 ]
 [ 2.86989796  5.86734694  6.82397959  8.03571429  7.90816327  8.0994898 ]
 [ 3.89030612  8.48214286 10.         10.         10.         10.        ]
 [ 4.4005102  10.         10.         10.         10.         10.        ]
 [ 5.22959184 10.         10.         10.         10.          9.56632653]]"
21,"[[ 0.          0.          0.          0.10245902  0.66598361  2.97131148]
 [ 0.          0.10245902  0.05122951  0.          1.17827869  6.76229508]
 [ 0.          0.40983607  0.56352459  0.10245902  1.43442623  8.29918033]
 [ 0.10245902  1.2295082   3.22745902  6.55737705 10.         10.        ]
 [ 0.15368852  3.89344262  7.22336066  7.94057377  5.99385246  9.83606557]
 [ 1.07581967  7.37704918 10.         10.         10.         10.        ]
 [ 2.81762295  9.78483607 10.         10.         10.         10.        ]
 [ 4.3545082  10.         10.          9.93852459  9.17008197  8.91393443]
 [ 4.30327869 10.         10.         10.         10.          8.55532787]
 [ 2.61270492  6.45491803 10.         10.          7.88934426  5.53278689]]"
22,"[[ 2.39808153 10.         10.          9.23261391  2.27817746 10.        ]
 [10.         10.         10.          4.85611511 10.         10.        ]
 [ 7.43405276 10.          8.15347722  4.01678657  6.17505995 10.        ]
 [10.         10.          2.09832134  1.31894484 10.          0.47961631]
 [10.          3.5971223   0.05995204  2.93764988  1.61870504  1.43884892]
 [ 6.53477218  0.29976019  0.47961631  0.83932854  2.39808153  1.43884892]
 [ 0.71942446  0.          0.23980815  2.0383693   4.61630695  3.29736211]
 [ 0.          0.          1.25899281  7.13429257  7.67386091  0.29976019]
 [ 0.          0.59952038  9.47242206 10.          0.71942446  0.05995204]
 [ 0.05995204  8.45323741  9.41247002  1.97841727  0.17985612  5.03597122]]"
23,"[[ 0.          3.24394464  0.          0.0432526   0.34602076  1.16782007]
 [ 0.          5.10380623  0.0432526   0.0432526   1.16782007  4.71453287]
 [ 0.0432526   8.43425606  0.0432526   1.47058824  6.61764706  9.73183391]
 [ 0.38927336  7.74221453  1.90311419  4.23875433  6.01211073  6.2283737 ]
 [ 1.51384083  6.09861592  1.42733564  6.61764706  7.09342561  5.40657439]
 [ 1.64359862  5.96885813  9.12629758  7.48269896 10.          5.92560554]
 [ 9.60207612 10.         10.         10.          7.48269896  4.58477509]
 [ 4.71453287  2.11937716  7.00692042 10.          7.39619377  1.16782007]
 [ 1.68685121  5.06055363 10.          6.87716263  3.5899654   0.        ]
 [ 3.28719723 10.          8.9100346   5.92560554  0.          0.        ]]"
24,"[[ 0.18248175  0.          0.          0.27372263  0.41058394  0.27372263]
 [ 0.68430657  0.22810219  0.50182482  1.23175182  1.50547445  1.00364964]
 [ 2.91970803  4.47080292  1.91605839  2.41788321  3.01094891  2.50912409]
 [ 7.75547445 10.          2.23540146  2.69160584  3.69525547  3.55839416]
 [ 9.44343066 10.          2.09854015  2.23540146  2.87408759  3.42153285]
 [ 8.8959854  10.          1.50547445  2.2810219   3.05656934  5.70255474]
 [ 5.2919708  10.          3.51277372  4.69890511  2.60036496  5.52007299]
 [ 5.79379562 10.          7.84671533  9.58029197  1.45985401  3.01094891]
 [10.         10.         10.         10.          1.59671533  1.27737226]
 [ 5.38321168  7.98357664 10.         10.          4.37956204  1.64233577]]"
25,"[[ 0.          0.08503401  0.38265306  2.67857143  2.76360544  1.70068027]
 [ 0.29761905  0.42517007  0.80782313  3.44387755  4.63435374  2.80612245]
 [10.         10.         10.          8.7585034   6.20748299  2.84863946]
 [ 4.33673469 10.          6.71768707  5.6122449   3.44387755  1.65816327]
 [ 1.95578231  5.73979592  8.24829932  9.09863946  2.76360544  2.5085034 ]
 [10.         10.         10.         10.          5.14455782  5.35714286]
 [ 7.95068027  9.48129252  9.52380952  5.90986395  1.57312925  3.1037415 ]
 [ 0.08503401  0.12755102  0.38265306  0.85034014  0.46768707  2.76360544]
 [ 0.          0.04251701  1.74319728  7.56802721 10.         10.        ]
 [ 0.          0.          2.25340136 10.          9.09863946  0.25510204]]"
26,"[[ 0.          0.          0.          0.81521739  4.14402174  1.49456522]
 [ 0.          0.06793478  1.5625      7.54076087  2.85326087  6.18206522]
 [ 0.          2.10597826  9.57880435  4.75543478  6.99728261 10.        ]
 [ 2.78532609  8.42391304  4.2798913   7.20108696 10.          8.35597826]
 [ 6.38586957  1.69836957  8.76358696  6.45380435  3.80434783 10.        ]
 [ 0.54347826  1.1548913  10.          2.64945652  2.7173913  10.        ]
 [ 0.33967391 10.          5.8423913   1.69836957  3.46467391 10.        ]
 [ 0.27173913 10.          4.34782609  3.19293478 10.         10.        ]
 [ 7.26902174 10.          5.97826087  8.28804348 10.         10.        ]
 [10.         10.         10.         10.         10.          3.60054348]]"
27,"[[ 1.65876777  4.22590837  6.7535545   5.21327014  3.00157978  0.47393365]
 [ 2.05371248  4.1864139   7.26698262  8.29383886  4.34439179  0.90837283]
 [ 0.55292259  1.93522907  8.6492891  10.         10.          1.10584518]
 [ 0.31595577  0.63191153  3.55450237  8.60979463 10.          2.33017378]
 [ 1.57977883  1.81674566  1.6192733   3.19905213 10.          7.18799368]
 [ 4.26540284  5.48973144  6.39810427  5.88467615 10.         10.        ]
 [ 5.92417062  7.46445498  8.29383886  5.84518167  8.96524487  4.50236967]
 [ 5.29225908  8.13586098 10.          7.78041074  3.27804107  1.26382306]
 [ 4.02843602  5.09478673  6.43759874  4.26540284  1.30331754  0.07898894]
 [ 3.5150079   2.88309637  1.30331754  0.39494471  0.          0.03949447]]"
28,"[[ 0.          0.          0.18621974  0.1396648   8.05400372 10.        ]
 [ 0.1396648   0.55865922  0.97765363  7.40223464 10.         10.        ]
 [ 1.76908752  3.49162011  7.40223464 10.         10.         10.        ]
 [ 2.83985102  4.1433892  10.          5.58659218  7.77467412  7.77467412]
 [ 1.44320298  7.12290503  9.17132216  3.11918063 10.          1.02420857]
 [ 2.46741155  9.63687151  3.02607076 10.          2.09497207  4.93482309]
 [ 5.91247672 10.         10.          4.56238361  2.0018622  10.        ]
 [ 2.93296089 10.          5.72625698  2.51396648  0.65176909  5.44692737]
 [ 3.0726257   3.63128492  2.83985102  0.55865922  0.04655493  0.04655493]
 [ 1.81564246  2.37430168  0.83798883  0.04655493  0.          0.        ]]"
29,"[[ 0.          0.          0.          0.04690432  1.31332083  1.40712946]
 [ 0.          0.          0.          0.28142589  3.61163227  7.4108818 ]
 [ 0.04690432  0.          0.          1.92307692 10.          1.68855535]
 [ 0.          0.28142589  0.51594747 10.         10.          0.75046904]
 [ 0.14071295  0.9380863   3.14258912 10.          6.4727955   1.2195122 ]
 [ 0.79737336  1.68855535  7.22326454 10.          7.78611632  1.36022514]
 [ 2.53283302 10.         10.         10.          1.87617261  1.07879925]
 [10.         10.          9.89681051  3.75234522  9.75609756 10.        ]
 [10.         10.          5.01876173  8.58348968  4.12757974 10.        ]
 [ 6.8011257   3.37711069  3.42401501  4.83114447 10.          7.4108818 ]]"
