,Shading Maps
67,"[[ 0.          0.8186398   3.27455919  4.97481108  6.80100756  5.03778338]
 [ 1.32241814  2.01511335  4.59697733  7.61964736  6.86397985  3.65239295]
 [ 3.02267003  5.28967254  8.24937028 10.          6.67506297  4.78589421]
 [ 5.60453401  7.17884131  9.06801008  7.87153652  3.33753149  3.90428212]
 [ 5.54156171  4.34508816  5.10075567  3.02267003  4.47103275  4.28211587]
 [ 0.75566751  2.32997481  5.60453401  7.74559194 10.          4.0302267 ]
 [ 1.6372796   7.30478589  8.69017632 10.         10.          7.55667506]
 [ 5.47858942 10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.          7.30478589  4.34508816]
 [ 8.43828715 10.         10.          2.89672544  4.34508816  0.18891688]]"
68,"[[ 0.          1.11821086  9.58466454 10.          9.98402556  6.94888179]
 [ 1.27795527 10.         10.          9.66453674  7.34824281 10.        ]
 [10.         10.          5.91054313  8.8658147   9.34504792 10.        ]
 [ 8.22683706  3.67412141  9.74440895 10.         10.         10.        ]
 [ 2.15654952  8.54632588 10.          7.50798722 10.         10.        ]
 [ 6.46964856 10.          9.42492013  6.78913738 10.          5.19169329]
 [10.          9.26517572  4.63258786  5.67092652 10.          6.70926518]
 [ 6.78913738  2.39616613  0.95846645  7.58785942 10.          9.34504792]
 [ 2.23642173  7.1884984  10.         10.         10.          6.94888179]
 [10.         10.          4.15335463  9.10543131  7.42811502  4.63258786]]"
69,"[[10.          8.33333333  2.21712538  0.3058104   9.63302752 10.        ]
 [10.          9.78593272  2.44648318 10.         10.         10.        ]
 [10.         10.          6.95718654  3.74617737  4.66360856  5.42813456]
 [10.          4.43425076  0.382263    0.76452599  9.17431193  7.41590214]
 [ 5.73394495  0.76452599  0.2293578   6.49847095 10.          3.74617737]
 [ 1.68195719  1.91131498  6.11620795 10.         10.          1.60550459]
 [ 2.21712538 10.         10.         10.          5.12232416  0.1529052 ]
 [ 9.32721713 10.         10.          8.48623853  0.5351682   0.91743119]
 [10.         10.         10.          7.03363914  9.55657492 10.        ]
 [ 5.27522936 10.         10.         10.          4.20489297  0.        ]]"
70,"[[ 2.35745614  4.11184211  8.00438596 10.         10.          8.93640351]
 [ 4.11184211 10.         10.         10.          2.79605263  2.46710526]
 [ 6.90789474  7.51096491  3.34429825  3.34429825  2.85087719  4.00219298]
 [ 1.6995614   4.98903509  6.52412281  4.49561404  7.12719298  2.24780702]
 [ 8.55263158 10.          4.27631579  9.26535088  6.68859649 10.        ]
 [ 8.16885965  2.96052632  7.62061404  9.375      10.          4.27631579]
 [ 1.75438596  4.49561404  9.32017544  5.75657895  0.60307018  1.20614035]
 [ 2.30263158  5.5372807   1.15131579  0.38377193  6.74342105  2.13815789]
 [ 3.72807018  0.16447368  6.74342105 10.          1.4254386   0.        ]
 [ 0.76754386 10.          8.27850877  0.21929825  0.          0.        ]]"
71,"[[ 2.47336377  1.97869102  1.14155251  5.63165906  0.34246575  0.11415525]
 [ 2.09284627  1.29375951  0.68493151 10.          3.69101979  6.39269406]
 [ 1.02739726  1.59817352  4.71841705 10.          2.58751903  2.70167428]
 [ 0.3805175   0.456621    0.91324201  0.57077626  4.45205479 10.        ]
 [ 0.0761035   0.03805175  0.41856925  6.54490107 10.          4.26179604]
 [ 0.03805175  0.304414    5.4414003  10.          8.75190259  5.1369863 ]
 [ 0.34246575  4.6042618   9.8173516   6.08828006  7.64840183  1.14155251]
 [ 2.77777778  5.78386606  3.04414003  6.08828006 10.          0.11415525]
 [ 4.79452055  2.43531202  2.77777778 10.          1.90258752  0.03805175]
 [ 1.33181126  0.68493151 10.         10.          1.33181126  0.        ]]"
72,"[[ 3.0653951  10.         10.          3.0653951   0.7493188   3.67847411]
 [10.         10.         10.          3.54223433  6.53950954  7.08446866]
 [10.         10.          8.24250681  4.29155313 10.          9.60490463]
 [ 6.19891008  5.44959128  3.0653951  10.         10.         10.        ]
 [ 9.26430518 10.         10.         10.          8.17438692  4.5640327 ]
 [ 0.34059946  2.45231608 10.         10.          8.92370572  7.22070845]
 [ 2.04359673  8.17438692 10.          9.80926431  5.51771117  1.90735695]
 [ 5.10899183  6.94822888  3.74659401  2.31607629  0.81743869  0.20435967]
 [ 1.43051771  1.43051771  1.15803815  0.34059946  0.27247956  3.88283379]
 [ 0.20435967  0.61307902  0.06811989  0.          3.61035422 10.        ]]"
73,"[[ 0.          4.69208211  8.65102639  2.05278592  2.78592375 10.        ]
 [10.          8.87096774  5.05865103  4.47214076  6.59824047 10.        ]
 [ 6.59824047  7.91788856  5.13196481  7.69794721 10.          9.53079179]
 [ 7.84457478  8.57771261  8.79765396  5.71847507 10.          2.78592375]
 [ 9.09090909  8.87096774  7.11143695  3.22580645  8.2111437   6.8914956 ]
 [ 8.94428152  5.93841642  4.91202346  6.4516129  10.         10.        ]
 [ 4.76539589  6.37829912 10.         10.         10.         10.        ]
 [ 6.52492669 10.         10.          6.08504399  4.25219941 10.        ]
 [ 6.08504399  4.17888563  6.01173021  5.49853372  3.4457478  10.        ]
 [ 1.97947214  3.73900293  6.23167155  5.35190616  2.34604106 10.        ]]"
74,"[[ 0.29126214  1.65048544  3.34951456 10.          4.80582524  1.65048544]
 [ 0.14563107  1.94174757  4.41747573 10.          6.26213592  3.78640777]
 [ 0.19417476  1.11650485  3.44660194 10.          6.99029126  6.60194175]
 [ 0.29126214  2.81553398  4.5631068   6.89320388  7.52427184  7.42718447]
 [ 0.67961165  2.62135922  7.62135922 10.         10.         10.        ]
 [ 0.9223301   3.49514563  9.02912621 10.         10.         10.        ]
 [ 1.99029126  4.95145631  9.80582524  9.85436893  8.10679612 10.        ]
 [ 2.23300971  4.80582524  9.61165049 10.          9.12621359 10.        ]
 [ 0.48543689  1.94174757  6.26213592  7.2815534   8.78640777 10.        ]
 [ 0.          0.48543689  2.91262136  5.77669903  5.77669903 10.        ]]"
75,"[[ 2.11538462  3.50961538  2.54807692  0.28846154  0.04807692  0.        ]
 [ 3.79807692  2.45192308  0.04807692  0.19230769  0.14423077  0.96153846]
 [ 1.63461538  0.24038462  0.76923077  0.43269231  1.92307692  2.98076923]
 [ 0.33653846  1.68269231  1.875       4.08653846 10.          8.79807692]
 [ 2.16346154  3.84615385  4.95192308 10.         10.          9.66346154]
 [ 4.56730769  5.24038462  8.41346154 10.         10.          9.56730769]
 [ 4.03846154  4.375       9.66346154 10.          9.90384615  5.96153846]
 [ 2.30769231  5.57692308 10.         10.          4.56730769  4.03846154]
 [ 2.40384615 10.         10.          3.60576923  2.69230769  2.78846154]
 [ 5.625      10.          5.67307692  0.91346154  1.39423077  1.15384615]]"
76,"[[ 1.12847222 10.         10.          5.29513889  0.08680556  2.86458333]
 [10.          4.94791667 10.          0.          3.125       7.98611111]
 [ 9.28819444  0.17361111 10.          5.46875     9.11458333  6.85763889]
 [ 0.86805556  0.08680556 10.          6.25       10.         10.        ]
 [ 0.95486111 10.          7.98611111 10.         10.         10.        ]
 [10.          2.43055556  9.89583333 10.         10.         10.        ]
 [ 1.73611111  3.21180556 10.          9.02777778 10.         10.        ]
 [ 1.21527778  6.33680556  8.07291667 10.          6.59722222 10.        ]
 [ 2.17013889  4.42708333  4.34027778  6.25        8.59375    10.        ]
 [ 1.99652778  0.95486111  2.43055556  3.47222222  7.89930556 10.        ]]"
77,"[[ 0.          0.47332186  0.          7.78829604  4.94836489  1.67814114]
 [ 0.          1.37693632  7.74526678  4.90533563  4.17383821  1.80722892]
 [ 0.04302926  7.05679862  3.91566265  7.70223752  3.95869191 10.        ]
 [ 5.29259897  4.73321859 10.         10.         10.          9.03614458]
 [ 9.3373494  10.         10.         10.         10.         10.        ]
 [10.          9.29432014  3.48537005  3.57142857 10.          2.45266781]
 [10.          3.61445783  2.32358003  8.13253012  3.14113597  0.04302926]
 [ 7.57314974  1.20481928  3.91566265  3.09810671  0.04302926  0.        ]
 [ 2.36660929  1.2908778   1.85025818  0.04302926  0.          0.        ]
 [ 0.47332186  1.0757315   0.12908778  0.          0.          0.        ]]"
78,"[[ 0.07194245  0.14388489  1.76258993  5.21582734  5.43165468  3.34532374]
 [ 0.          0.4676259   2.30215827  4.46043165  7.23021583  7.41007194]
 [ 0.17985612  1.33093525  4.38848921  7.26618705  8.77697842 10.        ]
 [ 0.35971223  2.84172662  7.15827338  7.98561151  7.87769784  8.88489209]
 [ 0.64748201  4.24460432  8.16546763  9.49640288  6.8705036   5.39568345]
 [ 1.22302158  5.10791367 10.         10.          9.10071942  5.21582734]
 [ 3.34532374  6.47482014 10.         10.          7.51798561  3.66906475]
 [ 7.01438849  9.0647482   9.71223022  6.58273381  2.91366906  0.82733813]
 [ 2.44604317  5.14388489  4.67625899  2.26618705  0.64748201  0.21582734]
 [ 0.68345324  1.00719424  0.86330935  0.4676259   0.32374101  0.        ]]"
79,"[[ 0.61090226  3.05451128  4.22932331  3.85338346  0.65789474  0.09398496]
 [ 1.5037594   4.84022556  8.22368421 10.          2.39661654  0.18796992]
 [ 1.97368421  5.02819549 10.         10.          3.38345865  0.23496241]
 [ 1.08082707  4.04135338  9.02255639 10.          2.2556391   0.14097744]
 [ 0.56390977  1.64473684  3.66541353  4.69924812  0.89285714  0.04699248]
 [ 0.23496241  0.56390977  1.17481203  0.98684211  0.04699248  0.        ]
 [ 0.79887218  0.79887218  0.51691729  0.23496241  0.          0.        ]
 [ 6.06203008  5.4981203   3.28947368  1.78571429  0.7518797   0.32894737]
 [10.         10.         10.         10.         10.          2.81954887]
 [10.         10.         10.         10.         10.          7.28383459]]"
80,"[[ 0.          0.11737089  0.70422535  4.69483568  6.92488263  0.99765258]
 [ 1.99530516  4.04929577  8.21596244 10.          5.69248826  2.81690141]
 [ 7.04225352 10.         10.         10.          4.342723    1.64319249]
 [ 2.05399061 10.          9.91784038  1.23239437  0.41079812  0.93896714]
 [ 6.69014085  7.3943662   5.28169014  0.52816901  0.93896714  4.51877934]
 [ 3.81455399  4.69483568  4.69483568  1.05633803  4.98826291  4.51877934]
 [ 0.88028169 10.          5.69248826  5.28169014  8.157277    2.40610329]
 [ 6.80751174 10.         10.          9.91784038  5.8685446   0.88028169]
 [10.         10.         10.         10.          3.46244131  1.11502347]
 [10.         10.         10.          8.45070423  1.34976526  3.57981221]]"
81,"[[ 0.05230126  0.26150628  0.67991632  1.9874477   6.27615063  8.5251046 ]
 [ 1.30753138  2.24895397  4.44560669  7.63598326  8.94351464  3.9748954 ]
 [ 0.          0.05230126  1.46443515  4.23640167  2.92887029  1.56903766]
 [ 0.          0.26150628  1.93514644  2.66736402  1.41213389  2.66736402]
 [ 0.26150628  1.83054393  2.71966527  2.458159    3.0334728   4.18410042]
 [ 0.57531381  1.93514644  2.30125523  2.51046025  4.23640167  4.07949791]
 [ 1.30753138  1.25523013  2.09205021  5.07322176  5.91004184 10.        ]
 [ 1.09832636  1.62133891  6.64225941 10.         10.         10.        ]
 [ 0.83682008  3.87029289  6.64225941  9.78033473 10.         10.        ]
 [ 6.85146444 10.         10.         10.         10.          6.32845188]]"
82,"[[ 0.          4.81586402  2.83286119  0.          0.07082153  1.41643059]
 [ 0.14164306 10.          0.07082153  0.07082153  0.14164306  2.33711048]
 [ 7.43626062  5.52407932  0.          0.          0.21246459  3.75354108]
 [10.          0.07082153  0.28328612  1.48725212  4.0368272   9.7733711 ]
 [ 3.61189802  0.56657224  4.10764873  8.35694051  8.71104816  6.94050992]
 [ 0.84985836  2.26628895  5.59490085  4.32011331  2.54957507  2.26628895]
 [ 1.20396601  5.2407932   9.63172805  7.93201133  3.47025496  9.13597734]
 [ 4.95750708 10.         10.          8.78186969  6.6572238  10.        ]
 [10.         10.         10.          8.5694051  10.          8.07365439]
 [10.         10.          7.29461756 10.         10.          7.43626062]]"
83,"[[ 0.04612546  1.4298893   5.67343173  8.85608856  5.39667897  5.53505535]
 [ 0.27675277  1.98339483  5.76568266  7.61070111  3.55166052  5.02767528]
 [ 1.06088561  3.04428044  4.2896679   3.0904059   1.4298893   1.4298893 ]
 [ 2.58302583  5.53505535 10.          7.3800738   3.27490775  1.24538745]
 [ 2.2601476   6.91881919 10.         10.          4.61254613  2.30627306]
 [ 0.599631    3.50553506  9.6402214   9.96309963  8.07195572  7.65682657]
 [ 1.10701107  3.0904059   7.84132841  9.50184502 10.         10.        ]
 [10.         10.          7.05719557  5.81180812 10.         10.        ]
 [ 6.08856089  5.58118081  4.01291513  1.70664207  8.85608856 10.        ]
 [ 0.09225092  0.          0.23062731  0.27675277  3.27490775  5.21217712]]"
84,"[[ 0.          0.          0.          0.17942584  2.57177033  5.62200957]
 [ 0.          0.11961722  0.59808612  2.75119617  5.68181818  9.33014354]
 [ 0.          0.4784689   1.97368421  4.12679426  7.95454545  3.52870813]
 [ 0.05980861  0.77751196  0.71770335  3.16985646  8.73205742  5.98086124]
 [ 0.05980861  0.17942584  0.71770335 10.          8.91148325 10.        ]
 [ 0.          0.9569378   8.6722488  10.          9.74880383 10.        ]
 [ 2.09330144  8.61244019 10.         10.          8.13397129 10.        ]
 [ 7.95454545 10.         10.         10.          9.21052632 10.        ]
 [ 9.33014354 10.          5.98086124  6.04066986 10.         10.        ]
 [ 4.12679426  1.79425837  1.37559809  8.25358852 10.         10.        ]]"
85,"[[ 0.11450382  0.38167939  2.21374046 10.          5.72519084  4.88549618]
 [ 0.30534351  1.22137405  9.23664122  9.69465649  8.09160305 10.        ]
 [ 0.22900763  6.83206107  7.09923664  6.71755725 10.          1.60305344]
 [ 2.09923664  2.63358779  5.76335878  5.07633588  2.21374046  0.72519084]
 [ 0.03816794  3.6259542   2.7480916   2.59541985  1.14503817  4.08396947]
 [ 1.25954198  1.10687023  2.29007634  3.09160305  2.67175573 10.        ]
 [ 0.19083969  1.25954198  3.4351145   3.4351145   9.58015267  3.24427481]
 [ 0.          3.6259542   5.45801527  6.14503817  3.4351145   1.98473282]
 [ 2.55725191  6.3740458   6.5648855   2.17557252  2.63358779  1.06870229]
 [ 5.49618321  8.96946565  1.25954198  1.98473282  1.22137405  0.        ]]"
86,"[[ 1.54155496  7.37265416 10.         10.         10.         10.        ]
 [ 4.75871314 10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.         10.        ]
 [ 1.54155496  3.08310992  5.36193029 10.         10.         10.        ]
 [ 0.          1.00536193  5.56300268 10.         10.         10.        ]
 [ 0.          0.40214477  2.74798928  6.16621984  9.1152815  10.        ]
 [ 0.          0.20107239  0.53619303  1.27345845  6.03217158  7.2386059 ]
 [ 0.20107239  0.13404826  0.13404826  0.80428954  4.42359249 10.        ]
 [ 2.54691689  2.74798928  1.4075067   0.80428954  5.49597855 10.        ]
 [ 9.85254692 10.          5.89812332  1.34048257  4.55764075 10.        ]]"
87,"[[ 0.07961783  0.07961783  0.          0.          0.2388535   1.59235669]
 [ 0.39808917  1.99044586  1.91082803  1.35350318  1.67197452  6.28980892]
 [ 4.14012739  8.35987261 10.          7.1656051   4.61783439 10.        ]
 [ 6.21019108 10.         10.         10.         10.         10.        ]
 [ 4.21974522  8.99681529 10.          8.59872611 10.         10.        ]
 [ 2.46815287  9.87261146 10.         10.         10.         10.        ]
 [ 5.73248408 10.         10.         10.         10.         10.        ]
 [ 6.68789809 10.          8.83757962  3.74203822  8.75796178  8.43949045]
 [ 8.35987261 10.          9.87261146  5.49363057  9.31528662 10.        ]
 [10.         10.         10.          8.35987261 10.         10.        ]]"
88,"[[ 0.          2.68817204 10.          8.87096774  4.03225806  1.81451613]
 [ 1.47849462  6.65322581 10.         10.          3.83064516  5.30913978]
 [ 2.68817204 10.         10.         10.          4.50268817  8.80376344]
 [ 3.42741935  7.79569892 10.         10.         10.         10.        ]
 [ 3.29301075 10.         10.          5.91397849 10.         10.        ]
 [10.         10.          8.87096774  3.49462366 10.         10.        ]
 [ 7.05645161  4.90591398  3.02419355  6.25       10.         10.        ]
 [ 3.49462366  1.07526882  2.15053763  6.5188172  10.          6.5188172 ]
 [ 1.41129032  0.67204301  0.60483871  3.69623656 10.         10.        ]
 [ 0.2016129   0.33602151  0.60483871  4.09946237  5.30913978  0.        ]]"
89,"[[ 0.          0.          0.18248175  5.59610706  7.11678832  5.77858881]
 [ 0.          0.1216545   0.72992701 10.          9.36739659 10.        ]
 [ 0.          0.30413625  2.85888078 10.         10.         10.        ]
 [ 0.          0.30413625  6.14355231 10.         10.         10.        ]
 [ 0.          0.30413625  9.91484185 10.         10.          8.27250608]
 [ 0.30413625  8.45498783 10.          8.88077859 10.          3.34549878]
 [10.         10.          8.88077859 10.          8.45498783  4.13625304]
 [ 5.96107056  4.31873479  7.96836983 10.          2.25060827  7.90754258]
 [ 1.76399027  4.31873479 10.          2.79805353  3.40632603  3.40632603]
 [ 1.39902676  9.79318735  1.70316302  1.33819951  2.37226277  4.25790754]]"
90,"[[ 0.          0.1119403   0.70895522  2.53731343  3.84328358  7.68656716]
 [ 0.07462687  0.59701493  2.53731343  6.60447761 10.         10.        ]
 [ 0.          0.70895522  2.20149254  3.13432836  4.85074627  4.25373134]
 [ 0.1119403   1.19402985  4.10447761  3.43283582  3.13432836  3.73134328]
 [ 0.1119403   2.05223881  5.82089552  3.73134328  1.23134328  6.30597015]
 [ 0.26119403  2.53731343  8.99253731  5.07462687  2.5         8.84328358]
 [ 2.91044776  8.84328358 10.         10.          6.75373134 10.        ]
 [ 4.6641791   6.97761194  7.5         4.92537313  6.75373134 10.        ]
 [ 0.70895522  1.34328358  2.05223881  3.76865672  6.52985075  6.86567164]
 [ 0.2238806   0.67164179  2.98507463  4.51492537  7.8358209   5.29850746]]"
91,"[[ 0.05319149  0.05319149  0.15957447  0.21276596  0.15957447  0.79787234]
 [ 0.          0.26595745  0.4787234   0.31914894  2.18085106  7.39361702]
 [ 0.26595745  0.63829787  0.58510638  3.5106383   6.86170213  9.89361702]
 [ 0.15957447  0.79787234  2.9787234   5.37234043  8.40425532  6.06382979]
 [ 0.42553191  2.92553191  2.44680851  7.28723404  7.76595745  6.86170213]
 [ 1.22340426  2.18085106  6.06382979  9.41489362  9.09574468  5.74468085]
 [ 4.36170213  8.72340426 10.         10.         10.          4.84042553]
 [ 2.23404255  3.9893617   6.22340426  7.0212766  10.         10.        ]
 [ 0.42553191  2.5         6.38297872  8.77659574 10.         10.        ]
 [ 1.64893617 10.         10.         10.          5.31914894  7.44680851]]"
92,"[[ 0.          0.59395248  8.8012959   1.83585313  0.          0.        ]
 [ 1.51187905  6.64146868 10.          0.21598272  0.43196544  6.0475162 ]
 [ 9.23326134 10.          4.42764579  1.67386609  8.85529158 10.        ]
 [10.          8.74730022  2.10583153  3.0237581   3.18574514 10.        ]
 [ 5.02159827  5.23758099  9.17926566  9.3412527   6.10151188  6.80345572]
 [10.         10.         10.          7.12742981 10.         10.        ]
 [ 7.34341253  3.23974082  5.23758099  9.71922246  7.23542117 10.        ]
 [ 0.64794816  3.13174946  5.12958963  2.96976242  0.59395248  1.61987041]
 [ 1.34989201  4.31965443  3.13174946  0.91792657  1.83585313  4.53563715]
 [ 1.56587473  2.59179266  1.13390929  1.02591793  4.64362851  2.05183585]]"
93,"[[ 0.6713555   0.3516624   1.31074169  1.50255754  5.53069054  7.03324808]
 [ 1.79028133  2.30179028  1.31074169  1.98209719  4.89130435  5.94629156]
 [ 3.35677749  3.13299233  2.74936061  1.95012788  3.29283887  4.02813299]
 [ 3.61253197  2.65345269  1.85421995  1.56649616  1.31074169  0.99104859]
 [ 3.96419437  3.90025575  4.02813299  2.04603581  1.50255754  0.3516624 ]
 [ 8.53580563  8.66368286  9.14322251  6.32992327  3.86828645  1.18286445]
 [ 9.17519182 10.         10.         10.         10.          6.71355499]
 [ 4.0601023   4.79539642  8.75959079 10.         10.          9.33503836]
 [ 1.342711    1.18286445  1.27877238  1.63043478  3.35677749  2.3657289 ]
 [ 0.          0.03196931  0.22378517  0.06393862  0.31969309  0.22378517]]"
94,"[[ 0.          0.11961722  0.65789474  1.79425837  3.8277512   2.3923445 ]
 [ 0.          0.4784689   1.19617225  3.3492823   5.68181818  4.60526316]
 [ 0.05980861  1.49521531  5.14354067  3.40909091  6.04066986  4.66507177]
 [ 0.          3.94736842 10.          2.63157895  5.14354067  2.81100478]
 [ 0.          5.44258373 10.          5.50239234  6.99760766  3.11004785]
 [ 0.11961722  4.72488038 10.         10.         10.          6.39952153]
 [ 2.51196172  5.50239234  7.715311    9.33014354 10.          7.715311  ]
 [10.         10.         10.          8.6722488  10.         10.        ]
 [10.         10.         10.         10.          9.86842105 10.        ]
 [ 7.53588517 10.         10.         10.         10.         10.        ]]"
95,"[[ 0.16722408  1.42140468  3.01003344  2.090301    2.5083612   1.83946488]
 [ 1.75585284  3.59531773  5.01672241  5.51839465  3.01003344  4.09698997]
 [ 4.43143813  4.84949833  4.84949833  5.01672241  4.93311037 10.        ]
 [ 4.01337793  2.17391304  2.9264214   3.42809365 10.          9.69899666]
 [ 0.58528428  0.50167224  2.00668896 10.          8.19397993  4.34782609]
 [ 0.          0.91973244  9.53177258  3.76254181  3.67892977  7.44147157]
 [ 0.16722408 10.         10.         10.          5.76923077 10.        ]
 [10.          9.61538462  8.19397993  0.50167224  4.09698997 10.        ]
 [ 0.          8.61204013  8.52842809  5.18394649  6.85618729 10.        ]
 [ 5.35117057 10.          6.02006689  2.84280936  3.51170569 10.        ]]"
96,"[[ 0.          0.          0.17152659  0.          0.          0.        ]
 [ 1.02915952  0.72898799  3.81646655  0.08576329  0.          0.21440823]
 [ 4.63121784  3.51629503 10.          0.          0.12864494 10.        ]
 [ 7.37564322  4.63121784 10.          0.12864494  0.68610635 10.        ]
 [ 2.95883362  1.24356775  2.61578045  0.12864494  0.38593482  3.47341338]
 [ 0.51457976  0.34305317  0.          0.12864494  3.64493997  2.95883362]
 [ 0.04288165  0.17152659  0.72898799  1.11492281 10.         10.        ]
 [ 1.02915952  4.07375643  5.18867925  2.22984563 10.         10.        ]
 [ 3.77358491 10.         10.         10.         10.         10.        ]
 [ 4.03087479 10.         10.         10.         10.         10.        ]]"
97,"[[ 2.57352941  2.86764706  1.94852941  0.91911765  0.51470588  0.        ]
 [ 3.23529412  4.375       2.83088235  1.02941176  1.02941176  0.73529412]
 [ 2.72058824  3.56617647  2.75735294  1.39705882  2.90441176  2.79411765]
 [ 2.35294118  3.49264706  2.64705882  0.99264706  4.77941176  4.63235294]
 [ 2.5         3.30882353  4.15441176  2.97794118  5.33088235  5.55147059]
 [ 1.91176471  4.48529412  7.24264706  5.55147059  6.06617647  3.82352941]
 [ 0.84558824  3.75        4.63235294  3.82352941  3.27205882  2.83088235]
 [ 0.25735294  6.50735294  5.625       1.21323529  2.05882353  3.125     ]
 [ 2.94117647 10.         10.          2.94117647  2.83088235  3.97058824]
 [10.         10.         10.          9.66911765  2.68382353  2.09558824]]"
98,"[[ 6.06060606  4.004329    2.11038961  0.7034632   0.10822511  0.        ]
 [ 6.27705628  5.03246753  2.43506494  0.48701299  0.05411255  0.        ]
 [ 5.95238095  4.81601732  2.97619048  1.13636364  0.91991342  1.19047619]
 [ 7.95454545  6.11471861  6.06060606  7.62987013 10.          9.03679654]
 [ 9.03679654 10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.          4.5995671   4.65367965]
 [10.         10.          9.63203463  8.38744589  6.76406926  8.71212121]
 [ 3.03030303  3.3008658   2.27272727  3.84199134  4.49134199  8.495671  ]
 [ 1.51515152  1.94805195  1.02813853  3.40909091  5.46536797  5.03246753]
 [10.         10.          1.35281385  1.78571429  2.16450216  1.40692641]]"
99,"[[ 0.20325203  0.24390244  0.93495935  2.96747967  3.37398374  4.3495935 ]
 [ 9.91869919  8.86178862  6.01626016 10.         10.         10.        ]
 [ 3.61788618  3.33333333  5.20325203 10.         10.         10.        ]
 [ 0.          0.16260163  1.62601626  3.57723577  6.2601626   7.15447154]
 [ 0.          0.          0.48780488  2.56097561  4.10569106  3.04878049]
 [ 0.          0.12195122  0.36585366  2.68292683  7.60162602  1.01626016]
 [ 0.          0.6504065   2.39837398  7.23577236 10.          0.69105691]
 [ 0.32520325  2.96747967  7.60162602 10.         10.          8.21138211]
 [ 1.74796748  7.76422764 10.         10.         10.          1.17886179]
 [ 1.8699187   7.76422764  9.02439024  8.37398374  2.96747967  0.20325203]]"
